book,vote,vote_title,programme_code,programme_title,prog_level,section,row_type,econ_code,econ_title,baseline_estimates_2025_2026,estimates_2026_2027,projected_estimates_2027_2028,projected_estimates_2028_2029,page,verified
fy-2026-27-program-based-1011-2151,1152,State Department for Energy,1152,State Department for Energy,vote,capital,econ,2200000,Use of Goods and Services,1135638907,1381066460,464000000,369000000,662,yes
fy-2026-27-program-based-1011-2151,1152,State Department for Energy,1152,State Department for Energy,vote,capital,econ,2600000,Capital Transfers to Govt. Agencies,24597689176,11801430908,15495000000,22481000000,662,yes
fy-2026-27-program-based-1011-2151,1152,State Department for Energy,1152,State Department for Energy,vote,capital,econ,3100000,Non Financial Assets,24620041740,5044033540,6121000000,15472000000,662,yes
fy-2026-27-program-based-1011-2151,1152,State Department for Energy,1152,State Department for Energy,vote,current,current_total,,Current Expenditure,12270628638,13292514756,13487320000,14072646400,662,yes
fy-2026-27-program-based-1011-2151,1152,State Department for Energy,1152,State Department for Energy,vote,capital,capital_total,,Capital Expenditure,50357369823,18230530908,22084000000,38326000000,662,yes
fy-2026-27-program-based-1011-2151,1152,State Department for Energy,1152,State Department for Energy,vote,total,total,,Total Expenditure,62627998461,31523045664,35571320000,52398646400,662,yes
fy-2026-27-program-based-1011-2151,1162,State Department for Livestock Development,1162,State Department for Livestock Development,vote,current,econ,2100000,Compensation to Employees,1731400018,1872000000,1923500000,1976500000,687,yes
fy-2026-27-program-based-1011-2151,1162,State Department for Livestock Development,1162,State Department for Livestock Development,vote,current,econ,2200000,Use of Goods and Services,1554335485,969794020,1095409829,1175851044,687,yes
fy-2026-27-program-based-1011-2151,1162,State Department for Livestock Development,1162,State Department for Livestock Development,vote,current,econ,2600000,Current Transfers to Govt. Agencies,2623767660,2634974216,2772750000,3030380000,687,yes
fy-2026-27-program-based-1011-2151,1162,State Department for Livestock Development,1162,State Department for Livestock Development,vote,current,econ,3100000,Non Financial Assets,386051687,37570520,43970171,45958956,687,yes
fy-2026-27-program-based-1011-2151,1162,State Department for Livestock Development,1162,State Department for Livestock Development,vote,capital,econ,2100000,Compensation to Employees,12400000,0,0,0,687,yes
fy-2026-27-program-based-1011-2151,1162,State Department for Livestock Development,1162,State Department for Livestock Development,vote,capital,econ,2200000,Use of Goods and Services,2069051800,1657600000,626000000,301000000,687,yes
fy-2026-27-program-based-1011-2151,1162,State Department for Livestock Development,1162,State Department for Livestock Development,vote,capital,econ,2600000,Capital Transfers to Govt. Agencies,2865058633,3849167722,3776000000,3009300000,687,yes
fy-2026-27-program-based-1011-2151,1162,State Department for Livestock Development,1162,State Department for Livestock Development,vote,capital,econ,3100000,Non Financial Assets,2384048200,673100000,4972000000,6375700000,687,yes
fy-2026-27-program-based-1011-2151,1162,State Department for Livestock Development,1162,State Department for Livestock Development,vote,current,current_total,,Current Expenditure,6295554850,5514338756,5835630000,6228690000,687,yes
fy-2026-27-program-based-1011-2151,1162,State Department for Livestock Development,1162,State Department for Livestock Development,vote,capital,capital_total,,Capital Expenditure,7330558633,6179867722,9374000000,9686000000,687,yes
fy-2026-27-program-based-1011-2151,1162,State Department for Livestock Development,1162,State Department for Livestock Development,vote,total,total,,Total Expenditure,13626113483,11694206478,15209630000,15914690000,687,yes
fy-2026-27-program-based-1011-2151,1166,State Department for the Blue Economy and Fisheries,1166,State Department for the Blue Economy and Fisheries,vote,current,econ,2100000,Compensation to Employees,270555684,278940000,287310000,295930000,698,yes
fy-2026-27-program-based-1011-2151,1166,State Department for the Blue Economy and Fisheries,1166,State Department for the Blue Economy and Fisheries,vote,current,econ,2200000,Use of Goods and Services,496211480,128644327,157960000,174710000,698,yes
fy-2026-27-program-based-1011-2151,1166,State Department for the Blue Economy and Fisheries,1166,State Department for the Blue Economy and Fisheries,vote,current,econ,2600000,Current Transfers to Govt. Agencies,2818308000,2673381000,2900050000,3066720000,698,yes
fy-2026-27-program-based-1011-2151,1166,State Department for the Blue Economy and Fisheries,1166,State Department for the Blue Economy and Fisheries,vote,capital,econ,2200000,Use of Goods and Services,0,43600000,115000000,106000000,698,yes
fy-2026-27-program-based-1011-2151,1166,State Department for the Blue Economy and Fisheries,1166,State Department for the Blue Economy and Fisheries,vote,capital,econ,2600000,Capital Transfers to Govt. Agencies,6921727099,3860720000,0,0,698,yes
fy-2026-27-program-based-1011-2151,1166,State Department for the Blue Economy and Fisheries,1166,State Department for the Blue Economy and Fisheries,vote,capital,econ,3100000,Non Financial Assets,642000000,843300000,1630000000,3870000000,698,yes
fy-2026-27-program-based-1011-2151,1166,State Department for the Blue Economy and Fisheries,1166,State Department for the Blue Economy and Fisheries,vote,current,current_total,,Current Expenditure,3585075164,3080965327,3345320000,3537360000,698,yes
fy-2026-27-program-based-1011-2151,1166,State Department for the Blue Economy and Fisheries,1166,State Department for the Blue Economy and Fisheries,vote,capital,capital_total,,Capital Expenditure,7563727099,4747620000,1745000000,3976000000,698,yes
fy-2026-27-program-based-1011-2151,1166,State Department for the Blue Economy and Fisheries,1166,State Department for the Blue Economy and Fisheries,vote,total,total,,Total Expenditure,11148802263,7828585327,5090320000,7513360000,698,yes
fy-2026-27-program-based-1011-2151,1169,State Department for Agriculture,1169,State Department for Agriculture,vote,current,econ,2100000,Compensation to Employees,824412653,814760000,839200000,864380000,717,yes
fy-2026-27-program-based-1011-2151,1169,State Department for Agriculture,1169,State Department for Agriculture,vote,current,econ,2200000,Use of Goods and Services,185804879,336745713,262235000,286070000,717,yes
fy-2026-27-program-based-1011-2151,1169,State Department for Agriculture,1169,State Department for Agriculture,vote,current,econ,2600000,Current Transfers to Govt. Agencies,23290019928,23204181010,25287180000,27405650000,717,yes
fy-2026-27-program-based-1011-2151,1169,State Department for Agriculture,1169,State Department for Agriculture,vote,current,econ,3100000,Non Financial Assets,51482245,48048000,38700000,39700000,717,yes
fy-2026-27-program-based-1011-2151,1169,State Department for Agriculture,1169,State Department for Agriculture,vote,capital,econ,2100000,Compensation to Employees,68736300,245063700,179360985,186110334,717,yes
fy-2026-27-program-based-1011-2151,1169,State Department for Agriculture,1169,State Department for Agriculture,vote,capital,econ,2200000,Use of Goods and Services,5947858807,5486396372,7699193327,8261723846,717,yes
fy-2026-27-program-based-1011-2151,1169,State Department for Agriculture,1169,State Department for Agriculture,vote,capital,econ,2500000,Subsidies,250000000,260438468,103360391,107297930,717,yes
fy-2026-27-program-based-1011-2151,1169,State Department for Agriculture,1169,State Department for Agriculture,vote,capital,econ,2600000,Capital Transfers to Govt. Agencies,39457536304,34040840231,17869140520,22525455386,717,yes
fy-2026-27-program-based-1011-2151,1169,State Department for Agriculture,1169,State Department for Agriculture,vote,capital,econ,3100000,Non Financial Assets,3140780000,2935863316,3439844756,2353489908,717,yes
